epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
29,119,,0.9291666746139526,0.6909090876579285,0.4968735873699188,0.5428571701049805,0.949999988079071
30,123,,0.9166666865348816,0.6610169410705566,0.4676766097545624,0.5,0.9750000238418579
31,127,,0.9416666626930237,0.7254902124404907,0.5157254934310913,0.5967742204666138,0.925000011920929
32,131,,0.9291666746139526,0.6909090876579285,0.47725316882133484,0.5428571701049805,0.949999988079071
33,135,,0.9354166388511658,0.7102803587913513,0.4589805603027344,0.5671641826629639,0.949999988079071
34,139,,0.9416666626930237,0.7254902124404907,0.5196972489356995,0.5967742204666138,0.925000011920929
35,143,,0.9333333373069763,0.7037037014961243,0.46273496747016907,0.5588235259056091,0.949999988079071
36,147,,0.9333333373069763,0.698113203048706,0.4648553133010864,0.560606062412262,0.925000011920929
37,149,0.32564806938171387,,,,,
37,151,,0.9437500238418579,0.7272727489471436,0.55035001039505,0.6101694703102112,0.8999999761581421
38,155,,0.9291666746139526,0.6851851940155029,0.45621758699417114,0.5441176295280457,0.925000011920929
39,159,,0.949999988079071,0.7551020383834839,0.49057647585868835,0.6379310488700867,0.925000011920929
40,163,,0.9416666626930237,0.7142857313156128,0.5621647238731384,0.6034482717514038,0.875
41,167,,0.9375,0.7115384340286255,0.47218650579452515,0.578125,0.925000011920929
42,171,,0.9583333134651184,0.7872340679168701,0.5231239795684814,0.6851851940155029,0.925000011920929
43,175,,0.949999988079071,0.7551020383834839,0.5558179020881653,0.6379310488700867,0.925000011920929
44,179,,0.9437500238418579,0.7326732873916626,0.4877356290817261,0.6065573692321777,0.925000011920929
45,183,,0.956250011920929,0.7789473533630371,0.5030077695846558,0.6727272868156433,0.925000011920929
46,187,,0.956250011920929,0.7692307829856873,0.6150931715965271,0.686274528503418,0.875
47,191,,0.9520833492279053,0.7628865838050842,0.5128939747810364,0.6491228342056274,0.925000011920929
48,195,,0.9645833373069763,0.8131868243217468,0.5326681733131409,0.7254902124404907,0.925000011920929
49,199,0.16957764327526093,,,,,
49,199,,0.9583333134651184,0.7872340679168701,0.5747343301773071,0.6851851940155029,0.925000011920929
50,203,,0.9583333134651184,0.7872340679168701,0.5328748226165771,0.6851851940155029,0.925000011920929
51,207,,0.9645833373069763,0.8131868243217468,0.5380119681358337,0.7254902124404907,0.925000011920929
52,211,,0.9583333134651184,0.782608687877655,0.585967481136322,0.692307710647583,0.8999999761581421
53,215,,0.9583333134651184,0.782608687877655,0.5560433864593506,0.692307710647583,0.8999999761581421
54,219,,0.9583333134651184,0.782608687877655,0.539068341255188,0.692307710647583,0.8999999761581421
55,223,,0.9624999761581421,0.800000011920929,0.6321488618850708,0.7200000286102295,0.8999999761581421
56,227,,0.9583333134651184,0.782608687877655,0.5872010588645935,0.692307710647583,0.8999999761581421
57,231,,0.9583333134651184,0.782608687877655,0.5497919321060181,0.692307710647583,0.8999999761581421
58,235,,0.9666666388511658,0.8181818127632141,0.6293240785598755,0.75,0.8999999761581421
59,239,,0.9583333134651184,0.782608687877655,0.6118444800376892,0.692307710647583,0.8999999761581421
60,243,,0.9583333134651184,0.782608687877655,0.5749396085739136,0.692307710647583,0.8999999761581421
61,247,,0.9666666388511658,0.8181818127632141,0.6176313757896423,0.75,0.8999999761581421
62,249,0.20988662540912628,,,,,
62,251,,0.9604166746139526,0.7865168452262878,0.6982817053794861,0.7142857313156128,0.875
63,255,,0.9645833373069763,0.8089887499809265,0.590547502040863,0.7346938848495483,0.8999999761581421
